cell_id,option,cost_inr,person_degC,tier1_person_degC,row0,col0,lon,lat
12951,greening,911250.0,3458.364471435547,0.0,1170,810,80.27479,13.03202
10741,greening,698625.0,3442.9320764541626,0.0,970,710,80.24695,13.08619
14484,greening,698625.0,3433.642614364624,0.0,1310,740,80.25553,12.99398
12729,greening,921374.9999999999,3427.9224309921265,0.0,1150,790,80.26924,13.03742
12287,greening,931500.0,3425.054672241211,0.0,1110,770,80.26367,13.04826
12824,greening,891000.0,3421.9241008758545,0.0,1160,640,80.22774,13.03459
13933,greening,789750.0,3420.4263191223145,0.0,1260,730,80.25273,13.00754
14706,greening,850500.0,3419.7884006500244,0.0,1330,760,80.26108,12.98857
12825,greening,769500.0,3417.171957015991,0.0,1160,650,80.23051,13.0346
12822,greening,992250.0,3409.3872241973877,0.0,1160,620,80.22221,13.03458
11187,greening,820124.9999999999,3406.1070609092712,0.0,1010,770,80.26359,13.07539
12010,greening,789750.0,3405.4395322799683,0.0,1090,200,80.10595,13.05319
12932,greening,972000.0,3403.411180496216,0.0,1170,620,80.22222,13.03186
10316,greening,1012500.0,3402.4335536956787,0.0,930,860,80.28843,13.09716
15242,greening,941625.0000000001,3402.0308113098145,0.0,1380,620,80.2224,12.9749
13259,greening,901125.0,3395.4561882019043,0.0,1200,590,80.21395,13.0237
11072,greening,739125.0000000001,3394.1739592552185,0.0,1000,720,80.24975,13.07806
11625,greening,789750.0,3392.0332794189453,0.0,1050,750,80.25809,13.06452
12372,greening,860625.0,3391.65269947052,3003.3344764709473,1120,520,80.19451,13.04534
12510,greening,891000.0,3388.1357831954956,0.0,1130,800,80.27199,13.04286
7782,greening,1012500.0,3379.087682723999,3379.087682723999,700,820,80.27718,13.15951
11840,greening,880875.0,3375.3854656219482,0.0,1070,700,80.24427,13.05905
10423,greening,1012500.0,3372.3837537765503,0.0,940,830,80.28014,13.09442
10424,greening,1012500.0,3372.180233001709,0.0,940,840,80.2829,13.09443
12719,greening,860625.0,3368.763617992401,0.0,1150,690,80.24157,13.03735
13264,greening,911250.0,3362.8065700531006,0.0,1200,640,80.22778,13.02374
11049,greening,860625.0,3350.996518611908,0.0,1000,490,80.1861,13.07787
11284,greening,880875.0,3347.7652769088745,0.0,1020,640,80.22763,13.07257
12933,greening,921374.9999999999,3347.1104049682617,0.0,1170,630,80.22499,13.03187
11294,greening,718875.0,3341.62158203125,0.0,1020,740,80.2553,13.07265
